index,walk_10min,walk_15min,car_10min,car_15min,car_20min,car_30min,transit_10min,transit_15min,transit_20min,transit_30min
502,,14.9,2.9,2.9,2.9,2.9,,14.9,14.9,14.9
503,,11.7,1.7,1.7,1.7,1.7,,11.7,11.7,11.7
504,8.5,8.5,2.2,2.2,2.2,2.2,8.5,8.5,8.5,8.5
505,6.8,6.8,1.2,1.2,1.2,1.2,6.8,6.8,6.8,6.8
506,3.8,3.8,0.9,0.9,0.9,0.9,3.8,3.8,3.8,3.8
507,7.2,7.2,1.7,1.7,1.7,1.7,7.2,7.2,7.2,7.2
508,9.0,9.0,2.1,2.1,2.1,2.1,9.0,9.0,9.0,9.0
509,6.6,6.6,1.9,1.9,1.9,1.9,6.6,6.6,6.6,6.6
510,5.8,5.8,1.6,1.6,1.6,1.6,5.8,5.8,5.8,5.8
511,6.2,6.2,2.0,2.0,2.0,2.0,6.2,6.2,6.2,6.2
512,7.1,7.1,2.0,2.0,2.0,2.0,7.1,7.1,7.1,7.1
513,,10.7,2.9,2.9,2.9,2.9,,10.7,10.7,10.7
514,,14.1,2.6,2.6,2.6,2.6,,14.1,14.1,14.1
515,,14.8,2.9,2.9,2.9,2.9,,14.8,14.8,14.8
538,,,2.6,2.6,2.6,2.6,,,18.6,18.6
539,,,2.7,2.7,2.7,2.7,,,17.1,17.1
540,,14.4,2.6,2.6,2.6,2.6,,14.4,14.4,14.4
541,,11.6,2.2,2.2,2.2,2.2,,11.6,11.6,11.6
542,8.5,8.5,1.8,1.8,1.8,1.8,8.5,8.5,8.5,8.5
543,5.7,5.7,1.2,1.2,1.2,1.2,5.7,5.7,5.7,5.7
544,0.5,0.5,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5
545,6.7,6.7,2.0,2.0,2.0,2.0,6.7,6.7,6.7,6.7
546,7.0,7.0,1.6,1.6,1.6,1.6,7.0,7.0,7.0,7.0
547,4.7,4.7,1.2,1.2,1.2,1.2,4.7,4.7,4.7,4.7
548,2.5,2.5,0.8,0.8,0.8,0.8,2.5,2.5,2.5,2.5
549,3.8,3.8,0.9,0.9,0.9,0.9,3.8,3.8,3.8,3.8
550,7.2,7.2,2.0,2.0,2.0,2.0,7.2,7.2,7.2,7.2
551,,11.2,2.8,2.8,2.8,2.8,,11.2,11.2,11.2
552,,14.1,2.2,2.2,2.2,2.2,,14.1,14.1,14.1
553,,,2.9,2.9,2.9,2.9,,,17.1,17.1
576,9.6,9.6,1.9,1.9,1.9,1.9,9.6,9.6,9.6,9.6
577,,,2.5,2.5,2.5,2.5,,,16.7,16.7
578,,11.4,1.7,1.7,1.7,1.7,,11.4,11.4,11.4
579,,11.8,2.0,2.0,2.0,2.0,,11.8,11.8,11.8
580,8.4,8.4,1.4,1.4,1.4,1.4,8.4,8.4,8.4,8.4
581,8.0,8.0,1.9,1.9,1.9,1.9,8.0,8.0,8.0,8.0
582,7.1,7.1,1.8,1.8,1.8,1.8,7.1,7.1,7.1,7.1
583,6.7,6.7,1.8,1.8,1.8,1.8,6.7,6.7,6.7,6.7
584,6.0,6.0,1.5,1.5,1.5,1.5,6.0,6.0,6.0,6.0
585,4.7,4.7,1.1,1.1,1.1,1.1,4.7,4.7,4.7,4.7
586,1.4,1.4,0.4,0.4,0.4,0.4,1.4,1.4,1.4,1.4
587,3.8,3.8,0.7,0.7,0.7,0.7,3.8,3.8,3.8,3.8
588,9.9,9.9,1.6,1.6,1.6,1.6,9.9,9.9,9.9,9.9
